"tree_ids","Longitude","Latitude","Z"
465,13.3285627087298,52.5138410647977,22.421
466,13.3292995281735,52.5138424799403,21.768
467,13.3254407281315,52.5137789389335,35.266
468,13.3284455543693,52.5138214274497,18.547
469,13.3256620126303,52.5137730793571,13.072
470,13.3275326633394,52.513799536002,11.307
471,13.3250142556317,52.5137549200546,17.85
472,13.3255003295844,52.5137618001169,12.142
473,13.3293741987139,52.5138165607973,20.096
474,13.3290799484196,52.5138034145949,24.096
475,13.3295660239155,52.5138102779638,15.288
476,13.3258839802864,52.5137492467051,19.413
477,13.3283736120583,52.5137754552661,20.261
478,13.3291248189784,52.513786065929,24.14
479,13.3294344804905,52.5137814472932,20.314
480,13.3291549599556,52.5137685092451,23.291
481,13.3232929568996,52.5136765931129,38.66
482,13.3295529986292,52.5137651382751,14.871
483,13.3229103329081,52.5136621791709,31.306
484,13.3265779750171,52.5137141082213,13.921
485,13.3294355031277,52.5137544882524,20.154
486,13.3284784242337,52.513731980201,21.584
487,13.3297157053145,52.5137494529413,14.222
488,13.3260042074652,52.5136880095973,13.407
489,13.3286113310496,52.5137248665556,19.215
490,13.3290532169626,52.5137311078076,20.101
491,13.3284054587676,52.5137129670647,17.534
492,13.3283177638501,52.513693745779,14.827
493,13.3233258370827,52.5135871473801,25.558
494,13.3233994842946,52.5135881909904,23.697
495,13.3265515891974,52.5136328145685,14.862
496,13.3267728728603,52.5136269529071,10.691
497,13.3260956584752,52.5136083829397,15.958
498,13.3263902479089,52.5136125502128,15.035
499,13.3293659461235,52.5136456122355,16.065
500,13.3232093701398,52.5135495322337,19.078
501,13.3234303115873,52.513552663143,24.163
502,13.3284825171057,52.5136241440888,12.897
503,13.3264207313322,52.5135860078998,15.08
504,13.329734865485,52.513632838343,13.568
505,13.3266125558429,52.5135797298497,17.389
506,13.3285568466862,52.5136072118045,13.323
507,13.3291754853403,52.5136159493666,20.037
508,13.3233429613606,52.5135244518708,26.345
509,13.3283509749703,52.5135953122232,11.647
510,13.3290285313539,52.5136048829426,20.087
511,13.3290874493183,52.5136057149958,19.957
512,13.3237557272568,52.5135213091125,10.8
513,13.3284986108718,52.5135884068013,15.153
514,13.3288079300179,52.5135927761376,20.095
515,13.3289404953906,52.5135946484629,19.926
516,13.3285873288124,52.5135806689222,20.39
517,13.3241541056545,52.5135089699682,10.858
518,13.3257304964774,52.5135222958451,13.944
519,13.3281755857287,52.5135568695102,11.164
520,13.3290298951923,52.5135689375612,10.985
521,13.3254951671666,52.5135099744462,12.041
522,13.3264967689911,52.5135241452477,16.741
523,13.3292953667439,52.5135636952183,17.014
524,13.325333485133,52.5134986949859,12.069
525,13.3258490152051,52.5135059905423,15.431
526,13.3251423443425,52.5134869983084,11.976
527,13.3284122804995,52.5135332402158,11.234
528,13.3284711983496,52.513534072575,14.145
529,13.3291929422472,52.5135442665956,16.239
530,13.3230069222199,52.5134477601834,12.86
531,13.3249659330772,52.5134755098461,11.871
532,13.3247600630866,52.5134636040295,11.917
533,13.3293851071676,52.5135289976991,16.982
534,13.3230812535292,52.5134308313537,10.972
535,13.3245983814338,52.5134523235676,11.972
536,13.3243777822643,52.5134402085188,12.42
537,13.32523208781,52.5134523039648,16.34
538,13.3253057348683,52.513453346387,15.7
539,13.3250409472512,52.5134406071253,14.643
540,13.3285318215043,52.513489973189,13.772
541,13.3230822800414,52.5134038723987,11.092
542,13.3244815718447,52.5134236959917,12.947
543,13.3248350774003,52.5134287014404,15.003
544,13.3258955946912,52.5134437114532,12.25
545,13.3285763509016,52.5134816110727,14
546,13.3258222892388,52.5134336830673,11.338
547,13.3238341626306,52.5133965439506,10.819
548,13.3244527968353,52.5134053061741,12.567
549,13.325248184138,52.5134165671399,17.129
550,13.3280762321425,52.5134565628524,11.854
551,13.3251454200965,52.5134061213587,17.077
552,13.3252043376784,52.5134069553428,16.974
553,13.3272075371796,52.513435293356,11.554
554,13.325926419881,52.513408182937,12.249
555,13.3270753137599,52.513424432757,14.341
556,13.3237615418179,52.513368541649,10.752
557,13.3267663374883,52.513411072567,12.733
558,13.3257503503264,52.5133877093139,10.726
559,13.3269732319849,52.5133960158866,13.453
560,13.3252060463643,52.5133620237022,16.678
561,13.3253238814166,52.5133636915798,13.378
562,13.3235864997007,52.5133211058516,10.853
563,13.3259579281875,52.5133546817489,11.244
564,13.3260315751098,52.5133557237181,12.296
565,13.3260761048246,52.5133473625455,11.293
566,13.3253108606107,52.5133185514582,20.009
567,13.3256941658522,52.5133149849586,12.767
568,13.3260182120086,52.5133195700002,10.631
569,13.3258274133971,52.5132988881025,15.262
570,13.3234138526728,52.5132107655573,17.915
571,13.3241215439973,52.5132028091025,14.505
572,13.3235333975924,52.5131675036122,17.104
573,13.3233864466751,52.5131564302039,12.487
